street_name,street_type,quadrant,rpp_spots
10TH,ST,NE,822
10TH,ST,NW,416
10TH,ST,SE,244
11TH,ST,NE,381
11TH,ST,NW,735
11TH,ST,SE,268
12TH,PL,NE,72
12TH,PL,NW,41
12TH,PL,SE,11
12TH,ST,NE,514
12TH,ST,NW,573
12TH,ST,SE,335
13TH,PL,NE,48
13TH,PL,NW,70
13TH,ST,NE,446
13TH,ST,NW,1319
13TH,ST,SE,342
14TH,PL,NE,115
14TH,PL,NW,31
14TH,PL,SE,14
14TH,ST,NE,388
14TH,ST,NW,708
14TH,ST,SE,356
15TH,PL,NW,39
15TH,PL,SE,11
15TH,ST,NE,164
15TH,ST,NW,537
15TH,ST,SE,261
16TH,PL,NE,18
16TH,ST,NE,193
16TH,ST,NW,1188
16TH,ST,SE,394
17TH,PL,NE,76
17TH,PL,SE,33
17TH,ST,NE,217
17TH,ST,NW,584
17TH,ST,SE,333
18TH,PL,NE,41
18TH,ST,NE,300
18TH,ST,NW,318
18TH,ST,SE,216
19TH,ST,NE,311
19TH,ST,NW,333
19TH,ST,SE,98
1ST,PL,NW,58
1ST,ST,NE,67
1ST,ST,NW,395
1ST,ST,SE,56
1ST,ST,SW,134
20TH,ST,NE,261
20TH,ST,NW,152
21ST,ST,NE,160
21ST,ST,NW,140
22ND,ST,NW,226
22ND,ST,SE,97
23RD,PL,NE,94
23RD,ST,NW,116
23RD,ST,SE,28
24TH,ST,NE,116
24TH,ST,NW,199
24TH,ST,SE,101
25TH,PL,NE,57
25TH,ST,NW,150
26TH,ST,NE,13
26TH,ST,NW,104
27TH,ST,NW,166
28TH,PL,NW,15
28TH,PL,SE,30
28TH,ST,NE,28
28TH,ST,NW,378
28TH,ST,SE,92
29TH,PL,NW,56
29TH,ST,NW,469
29TH,ST,SE,64
2ND,ST,NE,462
2ND,ST,NW,351
2ND,ST,SE,113
2ND,ST,SW,48
30TH,ST,NE,108
30TH,ST,NW,470
30TH,ST,SE,34
31ST,PL,NE,54
31ST,ST,NE,56
31ST,ST,NW,362
31ST,ST,SE,127
32ND,ST,NW,437
33RD,PL,NW,82
33RD,ST,NW,193
33RD,ST,SE,94
34TH,PL,NE,32
34TH,PL,NW,84
34TH,ST,NE,42
34TH,ST,NW,499
34TH,ST,SE,18
35TH,PL,NW,72
35TH,ST,NW,502
36TH,PL,NW,107
36TH,ST,NE,68
36TH,ST,NW,627
36TH,ST,SE,14
37TH,ST,NW,349
37TH,ST,SE,53
38TH,ST,NW,713
38TH,ST,SE,56
39TH,PL,NW,96
39TH,ST,NW,953
3RD,ST,NE,537
3RD,ST,NW,439
3RD,ST,SE,160
3RD,ST,SW,148
40TH,PL,NW,88
40TH,ST,NW,108
41ST,PL,NW,14
41ST,ST,NW,415
42ND,PL,NW,50
42ND,ST,NE,131
42ND,ST,NW,540
43RD,PL,NW,150
43RD,ST,NW,342
44TH,PL,NW,76
44TH,ST,NE,86
44TH,ST,NW,656
45TH,ST,NE,94
45TH,ST,NW,533
46TH,PL,NE,77
46TH,ST,NE,120
46TH,ST,NW,155
46TH,ST,SE,105
47TH,PL,NE,68
47TH,PL,NW,55
47TH,ST,NE,92
47TH,ST,NW,225
47TH,ST,SE,67
48TH,PL,NE,79
48TH,PL,NW,28
48TH,ST,NE,68
48TH,ST,NW,169
49TH,ST,NE,96
49TH,ST,NW,204
4TH,PL,SW,30
4TH,ST,NE,657
4TH,ST,NW,538
4TH,ST,SE,275
4TH,ST,SW,193
50TH,PL,NE,22
50TH,ST,NE,40
50TH,ST,NW,88
52ND,ST,SE,39
54TH,ST,SE,56
55TH,ST,NE,25
55TH,ST,SE,62
58TH,ST,SE,86
5TH,ST,NE,568
5TH,ST,NW,771
5TH,ST,SE,309
61ST,ST,NE,65
62ND,ST,NE,63
63RD,ST,NE,52
6TH,PL,NE,34
6TH,PL,SW,12
6TH,ST,NE,392
6TH,ST,NW,450
6TH,ST,SE,384
6TH,ST,SW,146
7TH,ST,NE,556
7TH,ST,NW,444
7TH,ST,SE,204
7TH,ST,SW,90
8TH,ST,NE,557
8TH,ST,NW,741
8TH,ST,SE,172
9TH,ST,NE,423
9TH,ST,NW,785
9TH,ST,SE,301
9TH,ST,SW,12
A,ST,NE,347
A,ST,SE,525
ABBEY,PL,NE,56
ACKER,ST,NE,50
ADAMS,ST,NE,234
ADAMS,ST,NW,124
ADAMS MILL,RD,NW,196
ADOLF CLUSS,CT,SE,108
ALABAMA,AVE,SE,511
ALASKA,AVE,NW,304
ALBEMARLE,ST,NW,832
ALLEN,PL,NW,22
ALLISON,ST,NE,36
ALLISON,ST,NW,398
ALTON,PL,NW,533
AMES,PL,NE,40
AMES,ST,NE,48
ANACOSTIA,RD,NE,58
APPLETON,ST,NW,219
ARGONNE,PL,NW,57
ARIZONA,AVE,NW,69
ARKANSAS,AVE,NW,215
ASCOT,PL,NE,30
ASHMEAD,PL,NW,62
ASPEN,ST,NW,441
ATLANTIC,ST,SE,99
AVON,LN,NW,30
AVON,PL,NW,26
B,ST,SE,190
BANCROFT,PL,NW,124
BANGOR,ST,SE,52
BANKS,PL,NE,85
BARNABY,ST,SE,21
BASS,CIR,SE,6
BASS,PL,SE,84
BATES,ST,NW,140
BAY,ST,SE,76
BEECHER,ST,NW,88
BEEKMAN,PL,NW,109
BELLEVUE,ST,SE,55
BELLEVUE,TER,NW,80
BELMONT,RD,NW,230
BELMONT,ST,NW,158
BELT,RD,NW,245
BENNETT,PL,NE,44
BENNING,RD,NE,25
BENNING,RD,SE,40
BENTON,PL,NW,42
BENTON,ST,NW,116
BILTMORE,ST,NW,85
BIRCH,DR,NW,24
BLAGDEN,AVE,NW,84
BLAINE,ST,NE,164
BLAIR,RD,NW,258
BRANCH,AVE,SE,220
BRANDYWINE,ST,NW,724
BRENTWOOD,RD,NE,75
BROAD BRANCH,RD,NW,200
BROOKS,ST,NE,237
BROTHERS,PL,SE,54
BROWN,ST,NW,46
BRYANT,ST,NE,207
BRYANT,ST,NW,137
BUCHANAN,ST,NE,116
BUCHANAN,ST,NW,301
BUNKER HILL,RD,NE,72
BURKE,ST,SE,38
BURLINGTON,PL,NW,54
BURNS,CT,SE,37
BURNS,PL,SE,32
BURNS,ST,NE,52
BURNS,ST,SE,38
BUTTERNUT,ST,NW,172
BUTTERWORTH,PL,NW,320
C,ST,NE,471
C,ST,SE,625
CALIFORNIA,ST,NW,254
CALVERT,ST,NW,352
CAMBRIDGE,PL,NW,35
CAMDEN,ST,SE,12
CANAL,ST,SW,103
CAPITOL,AVE,NE,38
CAROLINE,ST,NW,42
CARROLLSBURG,PL,SW,70
CATHEDRAL,AVE,NW,878
CECIL,PL,NW,29
CEDAR,ST,NW,70
CENTER,ST,NW,4
CENTRAL,AVE,NE,114
CENTRAL,AVE,SE,33
CENTRAL,PL,NE,54
CHAMPLAIN,ST,NW,79
CHANCELLOR'S,WAY,NE,23
CHANCERY,CT,NW,5
CHANNING,ST,NE,241
CHANNING,ST,NW,72
CHAPIN,ST,NW,77
CHARLESTON,TER,NW,83
CHESAPEAKE,ST,NW,397
CHESAPEAKE,ST,SE,96
CHESTNUT,ST,NW,29
CHEVY CHASE,PKWY,NW,381
CHICAGO,ST,SE,26
CHILLUM,PL,NE,148
CHURCH,ST,NW,171
CLARK,PL,NW,116
CLAY,PL,NE,81
CLAY,ST,NE,138
CLEVELAND,AVE,NW,264
CLIFFBOURNE,PL,NW,22
CLIFTON,ST,NW,145
CLYDESDALE,PL,NW,47
COLORADO,AVE,NW,244
COLUMBIA,RD,NW,646
COLUMBIA,ST,NW,28
CONNECTICUT,AVE,NW,879
CONSTITUTION,AVE,NE,579
CORBIN,PL,NE,34
CORCORAN,ST,NE,57
CORCORAN,ST,NW,238
COREY,PL,NW,20
CORREGIDOR,ST,NW,8
CORTLAND,PL,NW,113
CRESCENT,PL,NW,61
CRITTENDEN,ST,NE,105
CRITTENDEN,ST,NW,156
CUMBERLAND,ST,NW,137
CUSHING,PL,NW,18
D,ST,NE,461
D,ST,SE,584
DAHLIA,ST,NW,113
DANA,PL,NW,57
DARRINGTON,ST,SE,24
DAVENPORT,ST,NW,301
DAVIS,PL,NW,144
DAVIS,ST,NW,70
DECATUR,PL,NW,114
DECATUR,ST,NW,293
DELAFIELD,PL,NW,199
DELAWARE,AVE,SW,212
DENT,PL,NW,97
DEVONSHIRE,PL,NW,80
DIX,ST,NE,180
DOGWOOD,ST,NW,22
DOUGLAS,ST,NE,257
DOWNING,ST,NE,55
DUBOIS,PL,SE,67
DUDDINGTON,PL,SE,52
DUMBARTON,ST,NW,156
DUMBARTON ROCK,CT,NW,6
DUNCAN,PL,NE,42
DUNCAN,ST,NE,42
E,ST,NE,566
E,ST,NW,8
E,ST,SE,629
EADS,ST,NE,144
EAST,PL,NW,18
EAST BEACH,DR,NW,22
EAST CAPITOL,ST,BN,1305
EAST CAPITOL,ST,NE,30
EASTERN,AVE,NE,362
EASTERN,AVE,NW,388
ECKINGTON,PL,NE,7
EDGEWOOD,ST,NE,69
EDMUNDS,PL,NW,22
EDMUNDS,ST,NW,162
ELDER,ST,NW,68
ELLICOTT,ST,NW,313
ELLIOT,PL,NW,23
ELLIOTT,ST,NE,44
ELM,ST,NW,86
ELMIRA,ST,SE,36
ELMIRA,ST,SW,122
ELVANS,RD,SE,113
EMBASSY PARK,DR,NW,125
EMERALD,ST,NE,64
EMERSON,ST,NE,73
EMERSON,ST,NW,335
EMERY,PL,NW,42
ERIE,ST,SE,37
ESTHER,PL,SE,20
EUCLID,ST,NW,318
EVARTS,ST,NE,284
EVERETT,ST,NW,58
F,ST,NE,475
F,ST,NW,84
F,ST,SE,38
FAIRMONT,ST,NW,243
FARADAY,PL,NE,120
FARADAY,PL,NW,54
FARRAGUT,PL,NE,62
FARRAGUT,PL,NW,56
FARRAGUT,ST,NW,158
FENDALL,ST,SE,22
FERN,PL,NW,148
FERN,ST,NW,138
FERNWAY,RD,NW,30
FESSENDEN,ST,NW,485
FIELDSTONE,LN,NW,27
FIRTH STERLING,AVE,SE,141
FLAGLER,PL,NW,86
FLORAL,PL,NW,28
FLORAL,ST,NW,179
FLORIDA,AVE,NE,93
FLORIDA,AVE,NW,524
FORDHAM,RD,NW,62
FORT DAVIS,ST,SE,90
FORT STEVENS,DR,NW,52
FORT TOTTEN,DR,NE,172
FOXHALL,CRES,NW,68
FOXHALL,RD,NW,316
FRANKLIN,ST,NE,159
FRANKLIN,ST,NW,14
FRENCH,ST,NW,45
FULLER,ST,NW,64
FULTON,ST,NW,288
G,PL,NW,14
G,ST,NE,383
G,ST,NW,72
G,ST,SE,385
G,ST,SW,246
GAINESVILLE,ST,SE,95
GALES,PL,NE,40
GALES,ST,NE,202
GALLATIN,ST,NE,124
GALLATIN,ST,NW,241
GALLAUDET,ST,NE,18
GALLOWAY,ST,NE,305
GALVESTON,PL,SE,30
GALVESTON,ST,SE,26
GARFIELD,ST,NW,504
GARFIELD,TER,NW,65
GARRISON,ST,NW,354
GATES,RD,NW,33
GAULT,PL,NE,164
GEORGETOWN,CT,NW,64
GEORGIA,AVE,NW,390
GERANIUM,ST,NW,268
GIRARD,ST,NE,249
GIRARD,ST,NW,282
GLENBROOK,RD,NW,184
GLOVER,DR,NW,50
GOOD HOPE,RD,SE,30
GRACE,ST,NW,29
GRAMERCY,ST,NW,60
GRANT,CIR,NW,14
GRANT,RD,NW,80
GRANT,ST,NE,175
GREENE,PL,NW,56
GREENWICH,PKWY,NW,36
GRESHAM,PL,NW,116
GUETLER,WAY,SE,22
H,ST,NE,24
H,ST,NW,69
H,ST,SE,104
H,ST,SW,82
HADFIELD,LN,NW,39
HALF,ST,SW,212
HALL,PL,NW,57
HAMILTON,ST,NE,245
HAMILTON,ST,NW,200
HAMLIN,ST,NE,138
HANOVER,PL,NW,40
HARRISON,ST,NW,379
HARTFORD,ST,SE,10
HARVARD,ST,NW,467
HAWAII,AVE,NE,29
HAWTHORNE,ST,NW,243
HAYES,ST,NE,130
HEMLOCK,ST,NW,232
HERTFORD,PL,NW,37
HIATT,PL,NW,63
HIGHLAND,AVE,NW,60
HIGHLAND,PL,NW,32
HIGHWOOD,CT,NW,110
HILLANDALE,CT,NW,49
HILLYER,PL,NW,24
HOBAN,RD,NW,100
HOBART,PL,NW,137
HOBART,ST,NW,143
HOLBROOK,ST,NE,33
HOLBROOK,TER,NE,67
HOLLY,ST,NW,280
HOLMEAD,PL,NW,117
HOPKINS,ST,NW,28
HOWARD,RD,SE,289
HOWISON,PL,SW,54
HUGHES,MEWS,NW,34
HUIDEKOPER,PL,NW,115
HUNT,PL,NE,36
HUNTER,PL,SE,23
HUNTINGTON,ST,NW,193
HURST,TER,NW,78
HUTCHINS,PL,NW,49
I,ST,NE,300
I,ST,NW,121
I,ST,SE,179
I,ST,SW,137
IDAHO,AVE,NW,271
ILLINOIS,AVE,NW,120
INDEPENDENCE,AVE,SE,531
INDIAN,LN,NW,189
INDIAN ROCK,TER,NW,48
INGOMAR,PL,NW,35
INGOMAR,ST,NW,265
INGRAHAM,ST,NE,76
INGRAHAM,ST,NW,301
IOWA,AVE,NW,211
IRIS,ST,NW,148
IRVING,PL,SE,32
IRVING,ST,NE,132
IRVING,ST,NW,408
IRVING,ST,SE,18
ISHERWOOD,ST,NE,60
IVES,PL,SE,94
IVY TERRACE,CT,NW,38
JACKSON,ST,NE,277
JAY,ST,NE,24
JEFFERSON,ST,NE,151
JEFFERSON,ST,NW,300
JENIFER,ST,NW,330
JOCELYN,ST,NW,249
JOHNSON,AVE,NW,40
JONQUIL,ST,NW,149
JUNIPER,ST,NW,223
K,ST,NE,255
K,ST,NW,216
K,ST,SE,262
K,ST,SW,44
KALMIA,RD,NW,278
KALORAMA,CIR,NW,87
KALORAMA,RD,NW,355
KANAWHA,ST,NW,187
KANE,PL,NE,20
KANSAS,AVE,NW,270
KEARNY,ST,NE,209
KEEFER,PL,NW,46
KENDALL,ST,NE,63
KENILWORTH,AVE,NE,2210
KENMORE,DR,NW,67
KENNEDY,ST,NE,109
KENNEDY,ST,NW,331
KENSINGTON,PL,NE,45
KENT,PL,NE,20
KENTUCKY,AVE,SE,326
KENYON,ST,NW,523
KILBOURNE,PL,NW,100
KINGMAN,PL,NW,39
KIRBY,ST,NW,15
KLINGLE,PL,NW,54
KLINGLE,RD,NW,355
KLINGLE,ST,NW,145
KRAMER,ST,NE,50
L,ST,NE,242
L,ST,NW,202
L,ST,SE,250
L,ST,SW,33
L'ENFANT,SQ,SE,67
LAFAYETTE,AVE,NE,16
LAMONT,ST,NW,353
LANG,PL,NE,33
LANGLEY,CT,NW,18
LANIER,PL,NW,143
LAUREL,ST,NW,20
LAWRENCE,ST,NE,138
LEBAUM,ST,SE,81
LEEGATE,RD,NW,149
LEGATION,ST,NW,341
LEROY,PL,NW,51
LEXINGTON,PL,NE,50
LINCOLN,RD,NE,73
LINDEN,PL,NE,42
LINGAN,RD,NW,20
LIVINGSTON,ST,NW,297
LOCUST,RD,NW,150
LOGAN,CIR,NW,43
LONGFELLOW,ST,NW,132
LOUGHBORO,RD,NW,187
LOWELL,ST,NW,267
LURAY,PL,NW,34
LUZON,AVE,NW,177
LYMAN,PL,NE,23
M,ST,NE,67
M,ST,NW,397
M,ST,SW,89
MACARTHUR,BLVD,NW,798
MACARTHUR,CT,NW,30
MACOMB,ST,NW,601
MADISON,ST,NE,89
MADISON,ST,NW,182
MANOR,PL,NW,54
MANSION,DR,NW,60
MAPLE,ST,NW,39
MARIETTA,PL,NW,41
MARION,ST,NW,81
MARTIN LUTHER KING JR,AVE,SE,78
MARYLAND,AVE,NE,453
MASSACHUSETTS,AVE,NE,148
MASSACHUSETTS,AVE,NW,1165
MASSACHUSETTS,AVE,SE,350
MCGILL,TER,NW,102
MCKINLEY,ST,NW,223
MEADE,ST,NE,117
MEIGS,PL,NE,16
MELLON,ST,SE,85
MERIDIAN,PL,NW,142
MICHIGAN,AVE,NE,138
MILITARY,RD,NW,354
MILLS,AVE,NE,77
MINNESOTA,AVE,NE,326
MINNESOTA,AVE,SE,156
MINTWOOD,PL,NW,48
MISSISSIPPI,AVE,SE,86
MISSOURI,AVE,NW,120
MONROE,ST,NE,268
MONROE,ST,NW,312
MONTELLO,AVE,NE,137
MORNINGSIDE,DR,NW,113
MORRIS,PL,NE,50
MORRISON,ST,NW,202
MORSE,ST,NE,117
MORTON,PL,NE,49
MORTON,ST,NW,101
MOUNT OLIVET,RD,NE,75
MOUNT PLEASANT,ST,NW,124
MOZART,PL,NW,64
MURDOCK MILL,RD,NW,36
N,ST,NW,750
N,ST,SE,32
N,ST,SW,113
NASH,ST,NE,69
NAYLOR,CT,NW,63
NAYLOR,RD,SE,98
NEAL,ST,NE,136
NEBRASKA,AVE,NW,497
NEVADA,AVE,NW,190
NEW HAMPSHIRE,AVE,NE,21
NEW HAMPSHIRE,AVE,NW,930
NEW JERSEY,AVE,NW,196
NEW JERSEY,AVE,SE,48
NEW MEXICO,AVE,NW,79
NEW YORK,AVE,NE,42
NEW YORK,AVE,NW,99
NEWARK,ST,NW,360
NEWPORT,PL,NW,48
NEWTON,PL,NW,120
NEWTON,ST,NE,208
NEWTON,ST,NW,305
NICHOLSON,ST,NE,42
NICHOLSON,ST,NW,75
NICHOLSON,ST,SE,32
NORMANSTONE,DR,NW,100
NORTH CAPITOL,ST,BN,339
NORTH CAPITOL,ST,NE,14
NORTH CAROLINA,AVE,NE,162
NORTH CAROLINA,AVE,SE,205
NORTH DAKOTA,AVE,NW,84
NORTH GLADE,ST,NW,39
NORTH PORTAL,DR,NW,182
NORTHAMPTON,ST,NW,102
NORTHGATE,RD,NW,65
NORTON,PL,NW,43
O,ST,NW,622
O,ST,SE,84
O,ST,SW,137
OAK,ST,NW,144
OAKDALE,PL,NW,22
OAKVIEW,TER,NE,30
OAKWOOD,TER,NW,36
OATES,ST,NE,73
OBSERVATORY,CIR,NW,177
OBSERVATORY,PL,NW,83
OGDEN,ST,NW,91
OGLETHORPE,ST,NW,136
OKLAHOMA,AVE,NE,77
OLIVE,ST,NE,84
OLIVE,ST,NW,61
OLIVER,ST,NW,97
ONTARIO,PL,NW,66
ONTARIO,RD,NW,198
ORCHARD,LN,NW,32
ORDWAY,ST,NW,383
ORLEANS,PL,NE,49
ORREN,ST,NE,52
OTIS,PL,NW,264
OTIS,ST,NE,142
OWEN,PL,NE,124
P,ST,NW,896
P,ST,SE,64
P,ST,SW,158
PALISADE,LN,NW,20
PARK,PL,NW,147
PARK,RD,NW,542
PARK,ST,NE,25
PARKER,ST,NE,32
PARKGLEN,CT,NW,50
PARKWOOD,PL,NW,55
PATTERSON,ST,NW,68
PEABODY,ST,NW,158
PENN,ST,NE,68
PENNSYLVANIA,AVE,NW,96
PENNSYLVANIA,AVE,SE,556
PERRY,PL,NE,31
PERRY,PL,NW,54
PERRY,ST,NE,68
PHELPS,PL,NW,43
PICKFORD,PL,NE,45
PINEY BRANCH,RD,NW,203
PLEASANT,ST,SE,32
POPLAR,ST,NW,24
PORTAL,DR,NW,161
PORTER,ST,NE,6
PORTER,ST,NW,416
POTOMAC,AVE,NW,41
POTOMAC,AVE,SE,257
POTOMAC,AVE,SW,54
POTOMAC,ST,NW,101
PRIMROSE,RD,NW,77
PRINCETON,PL,NW,132
PROSPECT,ST,NW,146
PROUT,ST,SE,39
PROVIDENCE,ST,NE,42
Q,LN,NW,32
Q,PL,NW,28
Q,ST,NE,57
Q,ST,NW,1247
Q,ST,SE,151
Q,ST,SW,83
QUACKENBOS,ST,NW,37
QUARLES,ST,NE,61
QUARRY,RD,NW,75
QUEBEC,PL,NW,276
QUEBEC,ST,NW,317
QUEEN,ST,NE,14
QUEEN ANNES,LN,NW,16
QUEENS CHAPEL,TER,NE,59
QUINCY,PL,NE,91
QUINCY,PL,NW,52
QUINCY,ST,NE,120
QUINCY,ST,NW,332
R,ST,NE,138
R,ST,NW,983
R,ST,SE,70
R,ST,SW,20
RALEIGH,PL,SE,44
RALEIGH,ST,SE,77
RANDLE,CIR,SE,37
RANDOLPH,PL,NE,68
RANDOLPH,PL,NW,112
RANDOLPH,ST,NE,37
RANDOLPH,ST,NW,307
RENO,RD,NW,565
RESERVOIR,RD,NW,539
RHODE ISLAND,AVE,NE,296
RHODE ISLAND,AVE,NW,401
RICHARDSON,PL,NW,18
RIDGE,PL,SE,70
RIDGE,ST,NW,63
RIGGS,PL,NW,116
RIGGS,RD,NE,80
RIGGS,ST,NW,50
RITTENHOUSE,ST,NW,284
RIVER,RD,NW,269
ROCK CREEK,DR,NW,115
ROCK CREEK CHURCH,RD,NE,100
ROCK CREEK CHURCH,RD,NW,201
ROCK CREEK FORD,RD,NW,105
ROCKWOOD,PKWY,NW,278
RODMAN,ST,NW,273
ROSEDALE,ST,NE,119
ROSS,PL,NW,14
ROXANNA,RD,NW,252
ROXBORO,PL,NW,37
S,ST,NE,46
S,ST,NW,810
S,ST,SE,198
SAINT MARYS,PL,NW,10
SALEM,LN,NW,76
SANDY SPRING,RD,NW,49
SARATOGA,AVE,NE,50
SAVANNAH,PL,SE,22
SAVANNAH,ST,SE,58
SCOTT,CIR,NW,4
SCOTT,PL,NW,12
SEATON,PL,NE,52
SEATON,PL,NW,122
SEATON,ST,NW,47
SEDGWICK,ST,NW,249
SEWARD,SQ,SE,70
SHANNON,PL,SE,127
SHEPHERD,RD,NW,32
SHEPHERD,ST,NE,55
SHEPHERD,ST,NW,370
SHERIDAN,ST,NE,28
SHERIDAN,ST,NW,322
SHERIER,PL,NW,201
SHERMAN,AVE,NW,269
SHERMAN,CIR,NW,49
SIGSBEE,PL,NE,28
SIMMS,PL,NE,74
SKYLAND,PL,SE,79
SLIGO MILL,RD,NE,85
SOMERSET,PL,NW,250
SOUTH CAPITOL,ST,BN,48
SOUTH CAPITOL,TER,SW,47
SOUTH CAROLINA,AVE,SE,318
SOUTH DAKOTA,AVE,NE,608
SOUTHERN,AVE,NE,32
SOUTHERN,AVE,SE,245
SPRING,PL,NW,54
SPRING,RD,NW,82
SPRINGDALE,ST,NW,87
SPRINGLAND,LN,NW,71
SPRUCE,DR,NW,50
STANTON,RD,SE,28
STAPLES,ST,NE,52
SUITLAND,TER,SE,81
SUMMIT,PL,NE,38
SUMMIT,PL,NW,59
SUMMIT,ST,NE,40
SUMNER,RD,SE,103
SURREY,LN,NW,24
SUTERS,LN,NW,16
SUTTON,PL,NW,108
SWANN,ST,NW,242
T,PL,SE,18
T,ST,NE,115
T,ST,NW,719
T,ST,SE,145
TALBERT,ST,SE,42
TAMARACK,ST,NW,42
TAYLOR,ST,NE,89
TAYLOR,ST,NW,294
TENNESSEE,AVE,NE,230
TERRACE,RD,SE,103
TEXAS,AVE,SE,51
THOMAS,ST,NW,50
THOMAS JEFFERSON,ST,NW,14
THOMPSON,CIR,NW,10
TILDEN,ST,NW,381
TINDALL,ST,NW,62
TODD,PL,NE,113
TRACY,PL,NW,123
TRINIDAD,AVE,NE,151
TUCKERMAN,ST,NW,301
TUNLAW,RD,NW,195
U,PL,SE,22
U,ST,NE,122
U,ST,NW,296
U,ST,SE,90
UHLAND,TER,NE,32
UNDERWOOD,ST,NW,318
UNIVERSITY,AVE,NW,105
UNIVERSITY,PL,NW,43
UPSHUR,ST,NE,136
UPSHUR,ST,NW,312
UPTON,ST,NW,432
URELL,PL,NE,54
V,ST,NE,188
V,ST,NW,441
V,ST,SE,148
VALLEY,TER,SE,98
VAN BUREN,ST,NW,429
VAN NESS,ST,NW,612
VARNUM,ST,NE,173
VARNUM,ST,NW,172
VEAZEY,ST,NW,197
VEAZEY,TER,NW,46
VENABLE,PL,NW,35
VERBENA,ST,NW,158
VERMONT,AVE,NW,263
VERNON,ST,NW,49
VERPLANCK,PL,NW,100
VIRGINIA,AVE,NW,116
VIRGINIA,AVE,SE,222
VOLTA,PL,NW,149
W,PL,NW,34
W,ST,NE,86
W,ST,NW,441
W,ST,SE,100
WADE,RD,SE,35
WAGNER,ST,SE,47
WALLACH,PL,NW,29
WALNUT,ST,NW,88
WALTER,ST,SE,40
WARD,PL,NW,20
WARDER,ST,NW,168
WARNER,ST,NW,37
WARREN,ST,NE,42
WARREN,ST,NW,462
WASHINGTON,CIR,NW,21
WATER,ST,SW,31
WATERSIDE,DR,NW,103
WATSON,PL,NW,63
WATSON,ST,NW,153
WEAVER,TER,NW,21
WEBSTER,ST,NE,43
WEBSTER,ST,NW,247
WESLEY,CIR,NW,14
WEST LANE,KYS,NW,6
WEST VIRGINIA,AVE,NE,50
WESTERN,AVE,NW,210
WESTMINSTER,ST,NW,45
WESTOVER,PL,NW,119
WHITE,PL,SE,34
WHITEHAVEN,PKWY,NW,225
WHITEHAVEN,ST,NW,119
WHITTIER,PL,NW,170
WHITTIER,ST,NW,190
WILLARD,ST,NW,74
WILLOW,ST,NW,67
WILTBERGER,ST,NW,34
WINDOM,PL,NW,335
WINFIELD,LN,NW,106
WISCONSIN,AVE,NW,487
WOODLAND,DR,NW,280
WOODLEY,PL,NW,140
WOODLEY,RD,NW,416
WOODWAY,LN,NW,33
WYLIE,ST,NE,42
WYOMING,AVE,NW,290
XENIA,ST,SE,34
YOST,PL,NE,52
YUMA,ST,NW,587
YUMA,ST,SE,115
